time,alt,bias_x,bias_y,dop,h_acc,height,lat,lon,time_acc,v_acc,vel_acc,vel_h,vel_x,vel_y,vel_z,x,y,yaw,yaw_acc,z
1532707212.14243,33559.0,-1.1300343284452607,1.303265851121986,1.17,630.8571428571429,79.62200000000003,49.40240338571429,2.7953211,2e-09,825.8571428571429,0.0702857142857143,4.855428571428572,3.795428571428572,3.0260000000000002,0.13885714285714285,-249.2532073467144,359.000404626598,0.6953965953269332,0.02091979068042935,6.085326544132906
1532707212.223537,33573.0,-1.129975425413211,1.3032772464362898,1.17,630.2857142857143,79.63600000000002,49.402405328571426,2.7953249,2e-09,825.2857142857143,0.07042857142857144,4.889142857142858,3.8451428571428576,3.0170000000000003,0.15728571428571428,-248.97738872306186,359.2164753521548,0.6867806029415391,0.020374076089880778,6.099325100551267
1532707212.30302,33587.0,-1.1299165223811614,1.3032886417505938,1.17,629.7142857142857,79.65000000000002,49.40240727142857,2.7953287,2e-09,824.7142857142857,0.07057142857142858,4.922857142857143,3.894857142857143,3.008,0.1757142857142857,-248.70157009940934,359.43254607771166,0.6781646105561379,0.01982836149933221,6.113323656969629
1532707212.381863,33601.0,-1.1298576193491117,1.3033000370648977,1.17,629.1428571428571,79.66400000000002,49.40240921428571,2.7953325,2e-09,824.1428571428571,0.07071428571428572,4.956571428571428,3.944571428571429,2.999,0.19414285714285714,-248.4257514757568,359.64861680326845,0.6695486181707437,0.01928264690878364,6.12732221338799
1532707212.463438,33615.0,-1.1297987163170622,1.3033114323792019,1.17,628.5714285714286,79.67800000000003,49.40241115714286,2.7953363,2e-09,823.5714285714286,0.07085714285714287,4.990285714285714,3.9942857142857147,2.99,0.21257142857142858,-248.14993285210426,359.8646875288253,0.6609326257853496,0.01873693231823507,6.141320769806352
1532707212.5437038,33641.42857142857,-1.1296734475769752,1.3033346680855282,1.17,627.5714285714286,79.7044285714286,49.40241487142857,2.795344085714286,2e-09,822.5714285714286,0.07042857142857144,4.991714285714286,4.054,2.9080000000000004,0.233,-247.58481714495508,360.2777622896141,0.6397325850936042,0.017916527836697622,6.167747919563969
1532707212.623367,33653.857142857145,-1.1296070818689377,1.3033465084775506,1.17,627.1428571428571,79.71685714285715,49.40241664285714,2.7953480714285717,2e-09,822.1428571428571,0.06985714285714287,4.959428571428571,4.064,2.8350000000000004,0.23500000000000001,-247.29552006145843,360.4747663248461,0.6271485367872458,0.01764183794570874,6.180176512903225
1532707212.703529,33666.28571428572,-1.1295407161609003,1.303358348869573,1.17,626.7142857142857,79.72928571428572,49.40241841428571,2.7953520571428574,2e-09,821.7142857142857,0.0692857142857143,4.927142857142857,4.074,2.7620000000000005,0.23700000000000002,-247.00622297796178,360.6717703600781,0.6145644884808945,0.017367148054719863,6.192605106242481
1532707212.784775,33678.71428571428,-1.129474350452863,1.3033701892615956,1.17,626.2857142857143,79.7417142857143,49.402420185714284,2.7953560428571427,2e-09,821.2857142857143,0.06871428571428571,4.894857142857143,4.0840000000000005,2.689,0.239,-246.71692589446513,360.86877439531,0.6019804401745361,0.017092458163730985,6.205033699581736
1532707212.8623948,33691.142857142855,-1.1294079847448257,1.303382029653618,1.17,625.8571428571429,79.75414285714287,49.402421957142856,2.7953600285714284,2e-09,820.8571428571429,0.06814285714285714,4.862571428571429,4.094,2.616,0.241,-246.42762881096849,361.065778430542,0.5893963918681848,0.016817768272742107,6.217462292920992
